Sensor_ID,Entity_ID,Sensor_Type_Threshold_,Sensor_Reading,Status,Lower_Non_Recoverable,Lower_Critical,Lower_Non_Critical,Upper_Non_Critical,Upper_Critical,Upper_Non_Recoverable,Positive_Hysteresis,Negative_Hysteresis,Assertion_Events,Assertions_Enabled,Time_elapsed
Total Power,215.0,Unknown,224,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,0.27372
Total Power,215.0,Unknown,224,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,0.50328
Total Power,215.0,Unknown,259,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,0.89939
Total Power,215.0,Unknown,259,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,1.12037
Total Power,215.0,Unknown,259,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,1.33242
Total Power,215.0,Unknown,259,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,1.54702
Total Power,215.0,Unknown,259,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,1.75584
Total Power,215.0,Unknown,259,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,1.96809
Total Power,215.0,Unknown,259,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,2.22329
Total Power,215.0,Unknown,259,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,2.62788
Total Power,215.0,Unknown,259,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,2.87571
Total Power,215.0,Unknown,259,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,3.12352
Total Power,215.0,Unknown,259,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,3.33147
Total Power,215.0,Unknown,259,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,3.55525
Total Power,215.0,Unknown,315,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,3.87600
Total Power,215.0,Unknown,315,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,4.10396
Total Power,215.0,Unknown,315,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,4.32392
Total Power,215.0,Unknown,315,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,4.54344
Total Power,215.0,Unknown,315,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,4.79192
Total Power,215.0,Unknown,315,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,5.09639
Total Power,215.0,Unknown,315,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,5.48254
Total Power,215.0,Unknown,315,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,5.73274
Total Power,215.0,Unknown,315,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,6.04768
Total Power,215.0,Unknown,315,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,6.40386
Total Power,215.0,Unknown,315,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,6.76058
Total Power,215.0,Unknown,259,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,7.22913
Total Power,215.0,Unknown,259,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,7.52012
Total Power,215.0,Unknown,259,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,7.81172
Total Power,215.0,Unknown,259,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,8.09598
Total Power,215.0,Unknown,259,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,8.32787
Total Power,215.0,Unknown,259,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,8.72018
Total Power,215.0,Unknown,259,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,8.96038
Total Power,215.0,Unknown,259,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,9.20391
