Sensor_ID,Entity_ID,Sensor_Type_Threshold_,Sensor_Reading,Status,Lower_Non_Recoverable,Lower_Critical,Lower_Non_Critical,Upper_Non_Critical,Upper_Critical,Upper_Non_Recoverable,Positive_Hysteresis,Negative_Hysteresis,Assertion_Events,Assertions_Enabled,Time_elapsed
Total Power,215.0,Unknown,231,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,0.34293
Total Power,215.0,Unknown,245,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,0.64703
Total Power,215.0,Unknown,245,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,0.87350
Total Power,215.0,Unknown,245,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,1.10601
Total Power,215.0,Unknown,245,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,1.33072
Total Power,215.0,Unknown,245,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,1.55386
Total Power,215.0,Unknown,245,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,1.79814
Total Power,215.0,Unknown,245,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,2.02365
Total Power,215.0,Unknown,245,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,2.42974
Total Power,215.0,Unknown,245,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,2.65813
Total Power,215.0,Unknown,245,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,2.89082
Total Power,215.0,Unknown,245,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,3.11022
Total Power,215.0,Unknown,245,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,3.31834
Total Power,215.0,Unknown,245,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,3.59858
Total Power,215.0,Unknown,301,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,3.87848
Total Power,215.0,Unknown,301,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,4.08582
Total Power,215.0,Unknown,301,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,4.30218
Total Power,215.0,Unknown,301,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,4.55039
Total Power,215.0,Unknown,301,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,4.83809
Total Power,215.0,Unknown,301,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,5.06223
Total Power,215.0,Unknown,301,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,5.53389
Total Power,215.0,Unknown,301,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,5.84954
Total Power,215.0,Unknown,301,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,6.12203
Total Power,215.0,Unknown,301,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,6.38132
Total Power,215.0,Unknown,301,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,6.77358
Total Power,215.0,Unknown,301,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,7.22880
Total Power,215.0,Unknown,301,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,7.46240
Total Power,215.0,Unknown,301,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,7.72205
Total Power,215.0,Unknown,301,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,7.96984
Total Power,215.0,Unknown,301,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,8.19818
Total Power,215.0,Unknown,301,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,8.57819
Total Power,215.0,Unknown,301,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,8.81428
Total Power,215.0,Unknown,301,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,Empty_string,Empty_string,9.04202
